,IRF4,BATF_1
RARG_motif2,0.03194244392802484,0.012586540978656848
STAT1_motif4,0.03171841329469115,-0.0008480456134079191
SPIC_motif1,0.031715025103951515,-0.018001685081053674
TCF15_motif1,0.03156039275794777,-0.0024082767002551408
ENO1_motif1,0.03150794934174409,0.007289025246545102
STAT1_motif1,0.03138862062037848,0.000964810002797616
JUN_motif1,0.0313593887437441,0.006841433158182354
NRL_motif1,0.031331012595357394,0.0067568904268632156
SPI1_motif2,0.0313186869297932,-0.009735342791289452
LEF1_motif1,0.03121967665498872,-0.0012162446837492523
ELF3_motif1,0.031179085935939748,-0.003999931709605153
NR1H3_motif1,0.031063040790268556,0.002871602206753313
HNF4A_motif1,0.031002868474025357,0.009111199202360946
HLTF_motif1,0.03084126141809766,0.016404797077983306
FOXO4_motif2,0.03082226561625204,0.01495424072446431
BCL6B_motif1,0.030700855230728148,0.00291612191967785
SMAD2_motif1,0.03045668296126325,0.003672598548454118
CUX1_motif1,0.030443851092552755,-0.0035698398395550696
MEIS3_motif1,0.03038787670461572,-0.009393684215585753
JUNB_motif1,0.030377131798059547,0.009209218222103233
RREB1_motif1,0.030374658367469807,0.02259633629776909
ETV4_motif1,0.030357528601342946,0.012654980369454366
IRF5_motif2,0.03029263416083761,0.004682284849876241
SOX9_motif7,0.030202702572829518,0.0015899317444365226
TCF23_motif1,0.030123608158016613,-0.006187281250920469
HOXA5_motif1,0.03010730108916971,0.00018118000312450765
STAT3_motif2,0.029883091933745824,0.008393569436854719
JUN_motif2,0.02986714307056306,0.009353820768756993
STAT1_motif5,0.029798104578296087,0.016478868931403847
CIC_motif1,0.029687916020858008,0.008646465936802907
LEF1_motif2,0.02965947336224389,0.0016300064182926766
CREB3L2_motif1,0.02964796045002859,0.011897598720690185
KLF8_motif1,0.029643234576415392,0.018286833784057373
GFI1_motif2,0.02946301545657183,0.0050464383092980415
FOXO3_motif2,0.029450919561021225,0.017480792445988595
ZBTB7A_motif4,0.029441302047648985,0.01950755345074118
SCRT1_motif1,0.029345298079952998,-0.0025145208384983685
BATF_motif1,0.029343854742811922,0.009618826409245928
HSF4_motif1,0.029328051656028354,0.008179411924826097
ZNF354C_motif1,0.029211394551058808,0.008684074719525247
TCF7_motif1,0.029169144051352937,-0.008765510379926279
PATZ1_motif1,0.029098270292498143,0.026296014605540225
NR0B1_motif1,0.029004547723411756,0.02682766480122129
FOXO1_motif3,0.0288639116233903,0.014940126862969567
MAFB_motif1,0.028714406718723936,0.004890087130358278
RBPJ_motif1,0.028688349116049953,0.007402153967648597
KLF6_motif1,0.028620536355924483,0.011816992726471617
SOX9_motif4,0.02855704513042855,0.012265353941223425
KLF5_motif1,0.028555272482078738,0.01826485421196341
NFATC4_motif1,0.028545887571110286,0.010173701307978796
CREB1_motif4,0.028200970483308895,-0.0035799510038983383
JUN_motif3,0.028129506568447215,0.007919240522346625
LYL1_motif1,0.02812179922717626,0.00032606517749097776
ZNF263_motif1,0.02805180556735101,0.01689773720057713
TCF7L1_motif1,0.028008411169165796,0.011388486567018175
DUXA_motif1,0.027970259301093838,0.013971905144292137
HNF4G_motif1,0.02796177753543777,-0.011483473034194582
EPAS1_motif1,0.027940824287064507,0.019585273320854114
ELF5_motif1,0.02793860238902601,-0.015031690804316511
STAT4_motif2,0.027781978546681504,-0.0009877779771866628
HNF4A_motif3,0.027688467958568108,-0.003313577074420159
STAT5B_motif1,0.027518112688536513,0.002903958637692787
GATA6_motif1,0.027412928475535128,-0.012333926393229593
BCL6_motif1,0.027372559294228948,0.020231781034882663
PPARG_motif4,0.027314984891105926,0.0022307052131870426
TFCP2_motif1,0.027180711154548818,0.0034162896499996985
RFX4_motif2,0.02715069109911648,-0.007046991533565349
MAF_motif1,0.027094302876556706,0.006887794495289977
GLI3_motif1,0.02698366233892428,-0.009470425994119003
MAFF_motif1,0.026963195833750255,-0.007359742999792938
TFAP2B_motif2,0.026903301152877337,0.025791240288024084
HNF4A_motif5,0.026891401955618788,0.003986069665938362
ZIC3_motif3,0.02683625438109711,0.0023477716494826883
ESRRA_motif4,0.026798303510844775,-0.016559187081421282
JUND_motif2,0.02678812555099738,0.002115168023076223
YY1_motif2,0.026779958954975955,-0.01028515743135032
NFYA_motif1,0.026646541150435608,0.0011524852777683192
ELF2_motif1,0.026410849953811908,0.013360620056692763
GATA3_motif3,0.026388567825389286,-0.006506880906850799
USF1_motif1,0.02638510650192717,0.011902754485929559
NFATC2_motif1,0.026312810985076776,0.00676521883591035
FOSB_motif1,0.02602593321992928,0.007168419830391288
