Symbol,IRF4,BATF_1
ADAM15,-0.04376485693754119,0.004533837566668389
ADAM17,-0.003647254847831182,0.021921428494024713
ADAM19,0.01643601335722307,-0.011668174133175328
ADAM8,-0.03368758503012862,-0.0036826673737544707
ADAM9,-0.0484294198712442,-0.008410049059783613
ADAMTS4,0.018540130449000925,-0.030617946738010552
ADAP1,0.02852759305392284,0.012734902488293235
ADAP2,0.023198290939130232,0.0060569245655261
ADAR,0.02325347984609681,0.008755785837906113
ADAT3,-4.3916681615804175e-05,0.002992595706626254
ADCK1,0.003731679627867279,0.004486701182087164
ADCK2,0.013212469531726478,-0.0004977097959747091
ADCY10,-0.023947231914012365,0.019946638857841297
ADCY3,-0.021194124489467798,0.00010756894744674553
ADCY6,-0.007937046482608078,-0.0313025739069586
ADCY7,-0.03458946049242583,0.006762083901604477
